gene-id	gene-symbol	# diseases	# genes
100820758	CCCSX	1	0
81857	MED25	1	0
392	ARHGAP1	1	50
2242	FES	3	1425
5530	PPP3CA	6	2032
2254	FGF9	8	1756
58189	WFDC1	1	591
9770	RASSF2	9	2685
644	BLVRA	2	22
6810	STX4	1	1064
2477	FRAXA	4	248
1820	ARID3A	1	369
3360	HTR4	15	1209
23563	CHST5	1	299
64419	MTMR14	2	4
100380873	FECD3	1	0
5308	PITX2	15	1526
5275	SERPINB13	1	587
10392	NOD1	11	1400
2775	GNAO1	1	54
7494	XBP1	9	2215
60386	SLC25A19	3	31
84624	FNDC1	1	1168
79968	WDR76	1	719
2273	FHL1	9	1042
79901	CYBRD1	2	45
65117	RSRC2	1	198
3231	HOXD1	2	1015
916	CD3E	8	1556
92335	STRADA	2	108
57545	CC2D2A	5	195
170689	ADAMTS15	2	1639
51701	NLK	1	448
3646	EIF3E	1	671
10013	HDAC6	6	2287
4828	NMB	3	264
100852398	MRT23	1	0
440068	CARD17	1	415
8764	TNFRSF14	7	1186
9231	DLG5	5	741
2331	FMOD	3	196
1902	LPAR1	13	3019
7503	XIST	2	1168
5796	PTPRK	1	1064
6670	SP3	4	1140
4234	METTL1	1	261
23418	CRB1	11	407
3695	ITGB7	1	5
266691	DYX6	2	11
64162	HBB@	1	7
100379200	SLEB15	1	287
59338	PLEKHA1	2	61
100307119	BCC2	2	67
28982	FLVCR1	4	506
1809	DPYSL3	1	126
84084	RAB6C	1	1272
2744	GLS	3	678
80312	TET1	2	715
100188846	CELIAC6	2	95
3199	HOXA2	2	631
4669	NAGLU	5	1084
5287	PIK3C2B	3	602
60	ACTB	6	1523
10585	POMT1	5	138
1400	CRMP1	3	858
5173	PDYN	24	1459
3134	HLA-F	2	981
5245	PHB	10	3286
5453	POU3F1	1	299
442914	MIR369	1	104
427	ASAH1	4	1074
4735	SEPT2	2	362
60500	BRCA3	2	1898
57534	MIB1	1	30
59340	HRH4	4	1528
84364	ARFGAP2	2	800
51341	ZBTB7A	1	671
